4,B.C. Rich,Calm Sun,Stealth,7.69E+12
2,Martin,Autumn Cherry,D-35,6.21E+12
1,Squier,Proud Violet,Jaguar,2.05E+12
1,Gretsch,Cool Glitter,Reverend Horton Heat,3.65E+12
2,Gretsch,Damp Queen,Black Falcon,4.16E+12
3,Fender,Rough Sun,Duo-Sonic,9.53E+12
3,Friedman,Orange Queen,Cali,7.11E+12
4,Jackson,Old Flower,Soloist,6.65E+12
5,Paul Reed Smith,Shiny Haze,SE Carlos Santana,8.91E+12
5,Washburn,Cold Butterfly,HB15,9.11E+12
6,ESP,Plain Math,Xtone,8.30E+12
6,Fender,Frosty Heart,Stratocaster,8.72E+12
7,Martin,Restless Morning,CEO-7,3.13E+12
8,ESP,Muddy Resonance,H3,2.47E+11
9,Gretsch,Yellow Pond,Chet Atkins,7.18E+12
10,Taylor,Steep Darkness,800 Series,8.28E+11
11,Schecter,Calm Dust,C-6 Pro,4.07E+12
12,Squier,Mute Rice,Meteora,2.92E+11
13,Carvin,Frosty Mountain,CT624X,1.16E+11
14,Friedman,Lively Sea,Vintage-T,1.05E+12
15,Epiphone,Silent Unit,Les Paul Jr,2.52E+12
16,Rickenbacker,Rapid Wildflower,Model 330-12,1.33E+12
17,Schecter,Shrill Heart,E-1 Custom,5.07E+12
18,Fender,Icy Leaf,Mustsang,6.02E+12
19,Fender,Wandering Bird,Jaguar,9.71E+12
20,Epiphone,Crimson Feather,Les Paul Custom,3.94E+12
21,Rickenbacker,Long Fog,Model 360,5.35E+12
22,Washburn,Odd Mountain,HB35,7.38E+12
23,Gretsch,Patient Smoke,G5420T,9.32E+12
24,Carvin,Empty Cloud,C7H,5.49E+12
25,Martin,Misty Field,CEO-7,1.27E+12
26,Carvin,Tight Cherry,C6H,6.29E+11
27,Rickenbacker,Summer Credit,Model 360,1.80E+11
28,Guild,Damp Night,D40,1.29E+12
29,Guild,Falling Forest,Starfire,2.01E+12
30,Squier,Lingering Scene,Telecaster,6.71E+12
31,Taylor,Muddy Haze,500 Series,8.17E+11
32,Guild,Noisy Cake,Doubleneck Custom,9.71E+12
33,B.C. Rich,Snowy Resonance,Bich,2.66E+12
34,Epiphone,Falling Morning,ES-175,6.60E+12
35,Guild,Crimson Cake,Doubleneck Custom,3.10E+12
36,Squier,Yellow Grass,Jaguar,4.08E+12
37,Fender,Proud Fog,Jaguar,4.53E+12
38,Guild,Snowy Sound,D40,2.70E+12
39,Squier,Bitter Resonance,Mustsang,1.18E+12
40,Squier,Crimson Scene,Stratocaster,6.32E+12
41,Squier,Royal Shadow,Jazzmaster,6.50E+12
42,G&L,Frosty Surf,ASAT Classic Bluesboy,3.93E+12
43,Carvin,Blue Truth,CT624X,5.55E+12
44,Fender,Shiny Cake,Meteora,8.17E+12
45,Carvin,Odd Truth,A7E,8.54E+12
46,Gibson,Late Cake,ES-355,4.13E+12
47,Gretsch,Dark Bar,Penguin,2.08E+12
48,Carvin,Icy Sunset,A6H,5.53E+12
49,Ibanez,Shiny Sound,KIKO200,5.39E+11
50,Guild,Hidden Bonus,D25M,3.83E+12
51,Friedman,Throbbing Forest,Vintage-S,6.48E+12
52,Ibanez,Tight Resonance,PGM333,8.18E+12
53,Carvin,Steep Bush,A7E,6.24E+12
54,Washburn,Fragrant Pine,J600,3.40E+12
55,B.C. Rich,Sweet Darkness,Warlock,1.57E+12
56,Epiphone,Soft Cherry,ES-355,4.92E+12
57,Taylor,Mute River,400 Series,4.31E+12
58,B.C. Rich,Spring Flower,Warlock,2.97E+12
59,G&L,Shiny Bush,ASAT Classic Bluesboy,5.85E+12
60,ESP,Spring Meadow,M,6.15E+12
61,Martin,Still Star,D-28 Authentic 1937,1.13E+12
62,Gretsch,Dry Limit,Penguin,5.54E+12
63,Jackson,Blue Sky,Kelly,5.81E+12
64,B.C. Rich,Crimson Sun,Seagull,5.26E+12
64,Scala,White Wildflower,Burst,1.22E+12
65,Friedman,Curly Voice,Vintage-T,6.02E+11
66,ESP,Crimson Tree,Viper,1.33E+12
67,Charvel,Solitary Fog,DK24,4.94E+12
68,Jackson,Purple King,King V,9.79E+12
69,ESP,Billowing Limit,EC,5.52E+12
70,Guild,Holy Hat,Starfire,8.75E+12
71,Taylor,Frosty Union,700 Series,9.28E+12
72,Guild,Divine Silence,Starfire,2.67E+11
73,ESP,Frosty Sun,MH,1.65E+12
73,Scala,Yellow Thunder,T-Style,5.12E+12
74,Rickenbacker,Wild Mode,Model 300,6.88E+12
75,G&L,Tight Flower,Fullerton Deluxe Comanche,5.52E+12
76,Martin,Dry Cell,HD-28V,7.64E+12
77,Carvin,Summer Snow,A6H,9.19E+12
78,Martin,Wandering Base,HD-28V,9.91E+12
79,Guild,Floral Voice,Doubleneck Custom,9.98E+11
80,Ibanez,Jolly Tree,AF200,9.61E+12
81,Jackson,Quiet Disk,Dinky,8.58E+12
82,Martin,Plain Wave,Ed Sheeran Signature,2.26E+12
83,Gibson,Green Fire,SG,5.07E+12
84,Epiphone,Little Hat,ES-330,7.68E+12
85,Carvin,Bold Pond,CT624X,2.85E+12
86,Gretsch,Sparkling Recipe,Black Penguin,7.65E+12
87,Schecter,Red Bush,Keith Merror KM-7,7.09E+12
88,Schecter,Blue Silence,Solo-II,7.34E+12
89,Rickenbacker,Gentle Dust,Model 360,7.23E+12
90,Gibson,Polished Heart,Les Paul Custom,2.67E+12
91,Martin,Autumn Sun,Style 3 Centennial,7.42E+12
92,Fender,Shrill Mode,Duo-Sonic,9.30E+12
93,Paul Reed Smith,Dark Rice,SE 277 Baritone,8.41E+12
94,Jackson,Aged Limit,Juggernaut,9.73E+12
95,G&L,Raspy Tooth,Tribute ASAT,9.01E+12
96,Epiphone,Fancy Bush,Coronet,9.56E+11
97,B.C. Rich,Small Resonance,Wave,8.38E+12
98,Schecter,Frosty Flower,C-7 SLS Evil Twin,1.51E+12
99,Friedman,Dark Rice,Cali,9.24E+12
100,Squier,Spring Leaf,Mustsang,4.05E+12
101,Gretsch,Summer Sound,White Penguin,2.56E+12
102,G&L,Noisy Breeze,Fullerton Deluxe Skyhawk,3.04E+12
103,Gretsch,Patient Feather,Reverend Horton Heat,3.06E+12
104,Scala,Billowing Math,Underdog,2.81E+12
105,Scala,Morning Block,Junkyard,2.06E+12
106,Squier,Throbbing Tree,Jaguar,3.27E+12
107,Charvel,Delicate Bird,So-Cal Style,4.09E+12
108,Friedman,Summer Sun,Cali,1.43E+12
109,ESP,Twilight Shape,Xtone,4.61E+12
110,Paul Reed Smith,Raspy Silence,SE Mark Tremonti,1.00E+12
111,Scala,Tight Violet,Burst,6.99E+12
112,Carvin,Ancient Queen,A6C,2.59E+11
113,Taylor,White Star,800 Series,7.31E+12
114,Taylor,Plain Bush,500 Series,5.00E+12
115,Gretsch,Broken Dew,Penguin,6.75E+11
116,Friedman,Weathered Rain,Vintage-T,3.60E+12
117,Squier,Icy Leaf,Duo-Sonic,5.43E+12
118,Charvel,Calm Dream,DK24,9.46E+12
119,Gretsch,Sweet Cake,Chet Atkins,8.99E+12
120,B.C. Rich,Tiny Breeze,Eagle,3.16E+12
121,Fender,Long Math,Jaguar,6.29E+12
122,Carvin,Aged Limit,A6C,81008035850
123,Charvel,Dawn Math,So-Cal Style,1.54E+12
124,B.C. Rich,Cool Base,Wave,9.10E+12
125,Fender,Nameless Snow,Jaguar,6.67E+12
126,Washburn,Rapid Hill,HB35,8.79E+12
127,Epiphone,Dark Rain,Les Paul Standard Double Cut,7.91E+12
128,Carvin,Winter Snow,CT624X,7.97E+12
129,Guild,Hidden Star,Starfire,7.36E+12
130,Charvel,Fragrant Star,Guthrie Govan Signature,8.51E+12
131,Gibson,Fragrant Bush,Les Paul Jr,4.70E+12
132,ESP,Restless Brook,F,9.00E+12
133,ESP,Red Lab,EC,6.67E+12
134,Friedman,Restless Disk,Metro-D,5.63E+12
135,Washburn,Young Art,L20,1.61E+12
136,Epiphone,Morning Snowflake,Les Paul Studio,1.17E+12
137,Washburn,Noisy Dust,J600,2.15E+12
138,G&L,Mute King,Fullerton Deluxe ASAT,9.02E+12
138,Epiphone,Red Voice,ES-355,6.18E+12
139,Schecter,Red Unit,Solo-II,6.67E+12
140,B.C. Rich,Hidden King,Beast,3.95E+12
141,Guild,Withered Lab,D25M,7.42E+11
142,Washburn,Green Bonus,J600,9.93E+12
143,Jackson,Noisy Fog,Rhoads,7.45E+12
144,Epiphone,Steep Hat,Coronet,6.58E+12
145,Paul Reed Smith,Delicate Leaf,McCarty Singlecut,4.84E+11
146,B.C. Rich,Jolly Wind,Warlock,4.79E+12
147,Epiphone,Morning Salad,Les Paul Jr,8.81E+12
148,G&L,Shrill Haze,ASAT Classic Bluesboy,3.30E+12
149,Guild,Broad Queen,D25M,3.80E+12
150,Washburn,Ancient Frost,J600,3.96E+12
151,Squier,Quiet Paper,Jazzmaster,7.43E+12
152,Martin,Black Wood,HD-28,2.44E+12
153,Charvel,Morning Sunset,So-Cal Style,6.24E+12
154,Paul Reed Smith,Winter Feather,McCarty Singlecut,5.71E+12
155,Gretsch,Cool Darkness,Reverend Horton Heat,6.82E+11
156,Friedman,Lucky Block,Metro-D,5.56E+12
157,Scala,Polished Sound,T-Style,2.03E+12
158,Charvel,Royal River,DK27,2.13E+12
159,ESP,Hidden Limit,F,5.42E+12
160,B.C. Rich,Young Heart,Virgo,1.86E+12
161,Scala,Patient River,Underdog,1.11E+11
162,Charvel,Old Brook,So-Cal Style,9.71E+12
163,G&L,Broken Queen,Fullerton Deluxe Skyhawk,7.04E+12
164,Epiphone,Winter Cell,ES-175,8.42E+12
165,ESP,Throbbing Morning,SN,7.97E+11
166,Gibson,Broad Sea,Les Paul Jr Double Cut,3.01E+11
167,Friedman,Wispy Darkness,Vintage-S,5.50E+12
168,Guild,Weathered Sun,Starfire,8.05E+12
169,Taylor,Odd Star,300 Series,6.85E+12
170,Washburn,Soft Wave,HB35,4.91E+12
171,Guild,Wispy Lake,Starfire,8.12E+12
172,Gibson,Autumn Fog,ES-175,2.24E+12
172,Taylor,Super Sun,400 Series,6.20E+12
173,Gibson,Yellow Flower,Les Paul Jr,4.70E+11
174,Charvel,Spring Mode,DK27,3.73E+12
175,Schecter,White Tree,Synyster Gates Custom,3.76E+12
176,Jackson,Sweet Cloud,Dinky,1.81E+12
177,ESP,Snowy Mode,EC,1.81E+12
178,Schecter,Empty Art,E-1 Custom,7.74E+12
179,Ibanez,Black Bird,JS1CR Joe Satriani,6.91E+12
180,Squier,Shiny Grass,Jaguar,5.68E+12
181,Charvel,Fancy Butterfly,DK27,8.16E+12
182,Ibanez,Silent Sky,GB10 George Benson,4.19E+12
183,Ibanez,Old Bush,JS2480MCR,2.46E+12
184,Washburn,Tiny Wave,J3,7.39E+11
185,Squier,Raspy Wildflower,Telecaster,5.73E+12
186,Washburn,Cold Union,HB15,5.88E+12
187,Washburn,Shy Sun,HB35,1.39E+12
188,Washburn,Shiny Night,HB35,3.52E+12
189,Gibson,Square Snow,Les Paul Standard Double Cut,1.64E+12
190,Epiphone,Floral River,Les Paul Standard,7.13E+12
191,G&L,Frosty Frog,Tribute Comanche,4.08E+12
192,Jackson,Bold Breeze,Kelly,1.28E+11
193,ESP,Holy Tooth,M,4.64E+11
194,ESP,Holy Sky,EC,9.92E+12
195,Paul Reed Smith,Shrill King,SE Mark Tremonti,2.21E+12
196,Gretsch,Cool Meadow,Black Falcon,8.38E+12
197,Gretsch,Rapid Frost,Black Falcon,9.94E+12
198,Guild,Twilight Poetry,Doubleneck Custom,2.67E+12
199,Gretsch,Raspy Rice,Penguin,5.94E+12
200,Fender,Square Fire,Jaguar,5.48E+11
201,B.C. Rich,Divine River,Seagull,9.74E+12
202,Paul Reed Smith,Wild Fog,Carlos Santana Signature,3.54E+12
203,Jackson,Shiny Dust,Juggernaut,3.82E+12
204,Friedman,Sparkling Credit,Metro-D,8.96E+12
205,Rickenbacker,Late Haze,Model 330-12,9.25E+12
206,Rickenbacker,Odd Art,Model 330-12,8.13E+12
207,Rickenbacker,Autumn Wind,Model 360,3.80E+12
208,Fender,Holy Resonance,Telecaster,4.76E+11
209,Gibson,Shiny Resonance,Les Paul Jr Double Cut,8.66E+12
210,Squier,Damp Band,Meteora,3.98E+12
211,Paul Reed Smith,Twilight Bush,SE Custom 24 Ziricote,4.33E+12
212,Jackson,Damp Term,Soloist,5.01E+12
213,Charvel,Blue Firefly,DK24,6.94E+12
214,Ibanez,Fancy Bar,PM200,9.81E+12
215,Guild,Billowing Bird,Starfire,4.12E+12
216,Rickenbacker,Autumn Thunder,Model 340,6.85E+12
217,Martin,Winter Dew,GPC-28E,7.03E+12
218,Scala,Bitter River,ES,2.85E+12
219,Schecter,Flat Mountain,V-1,4.49E+12
220,Schecter,Late Frost,Synyster Gates Custom,9.36E+12
221,Gretsch,Rapid Feather,Black Penguin,7.07E+12
222,Gibson,Soft Credit,Flying V,5.55E+12
223,Guild,Broken Hill,Starfire,6.78E+12
224,Schecter,Nameless Sunset,Keith Merror KM-7,2.35E+12
225,Fender,Raspy Limit,Mustsang,2.50E+12
226,ESP,Spring Butterfly,H,2.06E+12
227,Epiphone,Spring Math,SG Jr,3.97E+12
228,Ibanez,Cool Math,JS1CR Joe Satriani,5.42E+12
229,Friedman,Lively Bird,Cali,7.17E+12
230,Gretsch,Proud Sky,Black Penguin,3.22E+12
231,Friedman,Morning Smoke,Metro-D,9.03E+11
