669,ESP,Wild Meadow,TE,3.77708E+12
1,Carvin,Dry Mud,A6E,4.45457E+12
2,Martin,Mute Heart,D-45,2.02725E+12
3,Gretsch,Purple Limit,Reverend Horton Heat,2.20569E+12
4,Jackson,Shrill Thunder,Juggernaut,6.02914E+12
5,Taylor,Lingering Flower,800 Series,2.26872E+12
6,ESP,Falling Pond,MH,7.6418E+11
7,Fender,Frosty Wave,Stratocaster,9.62008E+12
8,Ibanez,Broken Hat,PS10,2.76707E+11
9,Scala,Dark Term,ES,7.83057E+12
10,Charvel,Little Pond,Guthrie Govan Signature,6.21297E+12
11,Schecter,White Surf,C-7 SLS Evil Twin,3.20069E+12
12,Guild,Delicate Breeze,Starfire,9.27878E+12
13,Fender,Misty Boat,Telecaster,7.11312E+12
14,Taylor,Ancient Limit,200 Series,5.86514E+12
15,Epiphone,Dry Frog,SG Jr,6.2658E+12
16,Carvin,Tiny Smoke,C7H,8.46876E+12
17,Schecter,Steep Frog,E-1 Custom,1.7523E+12
18,ESP,Falling Shape,Viper,4.4944E+12
19,Martin,Shy Bar,D-45,1.04665E+12
20,Gretsch,Noisy Math,G5425,2.71441E+12
21,ESP,Muddy King,H3,5.45648E+12
22,ESP,Winter Bread,EX,2.11992E+12
23,Carvin,Black Wildflower,CT624X,6.64361E+12
24,Martin,Withered Pine,00-28,9.91164E+12
25,Scala,Silent Limit,Junkyard,3.4242E+12
26,Gibson,Orange Cake,Les Paul Custom,9.26287E+12
27,Scala,Raspy Pond,T-Style,7.4563E+12
28,Schecter,Spring Block,E-1 Custom,3.98535E+12
29,Friedman,Flat Wave,Vintage-S,8.1313E+12
30,Scala,Empty Mountain,Junkyard,4.71632E+12
31,Gibson,Wild Cloud,Les Paul Standard,7.58311E+12
32,Washburn,Red Brook,L20,3.27097E+12
33,Schecter,Broken Breeze,C-7 SLS Evil Twin,9.70156E+12
34,ESP,Calm Poetry,Xtone,8.41347E+12
35,Martin,Quiet Breeze,D-45,7.66577E+12
36,Paul Reed Smith,Autumn Band,SE Carlos Santana,4.3264E+12
37,Fender,Still Leaf,Telecaster,6.52659E+12
38,B.C. Rich,Restless King,Beast,7.79266E+12
39,Martin,Black Glade,D-45,8.29648E+12
40,Scala,Curly Surf,Junkyard,6.0107E+12
41,Friedman,Muddy Smoke,Cali,7.64309E+12
42,ESP,Curly Silence,Arrow,2.26148E+12
43,Gretsch,Dawn Sea,Black Penguin,7.41668E+12
44,Charvel,Still Disk,DK,2.26863E+12
45,Washburn,Withered Term,J3,5.50222E+12
46,Rickenbacker,Soft Feather,Model 360,5.55899E+12
47,Schecter,Round Rain,C-7 SLS Evil Twin,7.19309E+12
48,Washburn,Odd Sea,M10FRQ,1.65895E+11
49,Carvin,Little Glitter,A6E,9.97145E+12
50,ESP,Winter Morning,Xtone,2.25337E+12
51,Charvel,Muddy Frog,DK27,2.59514E+12
52,Gibson,Broken Cherry,Les Paul Classic,6.76382E+12
53,Scala,Withered Rice,Burst,9.08996E+12
54,Epiphone,Dark Frog,Les Paul Standard Double Cut,8.97734E+12
55,Fender,Aged Haze,Jaguar,81165206056
56,Epiphone,Silent Glitter,Les Paul Standard Double Cut,6.57091E+12
57,Gibson,Bold Union,Explorer,1.72411E+12
58,Martin,Silent Mud,00-28,4.88093E+11
59,Epiphone,Broken Rice,Coronet,33724206984
60,Scala,Plain Shape,Underdog,9.25022E+12
61,G&L,Bitter Sun,Fullerton Deluxe Skyhawk,5.60411E+12
62,Scala,Sparkling Frost,ES,5.31367E+12
63,Martin,Restless Truth,Ed Sheeran Signature,6.06536E+12
64,Fender,Ancient Darkness,Mustsang,7.62314E+12
65,Rickenbacker,Old Meadow,Model 330-12,2.49867E+12
66,Washburn,Divine Lab,J3,8.51814E+12
67,B.C. Rich,Icy Frost,Stealth,2.41409E+12
68,Martin,Lively Frog,HD-35,7.48032E+12
69,Gibson,Shy Boat,Les Paul Jr,8.49956E+12
70,Carvin,Wild Salad,A6H,8.09211E+12
71,Jackson,Withered Brook,Kelly,5.74733E+12
72,Gibson,Purple Glade,Les Paul Classic,3.19624E+12
73,Guild,Lively Night,Doubleneck Custom,4.7023E+12
74,Charvel,Soft Pine,Guthrie Govan Signature,9.05471E+12
75,Washburn,Jolly Feather,J600,7.79608E+12
76,ESP,Late Night,Viper,3.95096E+12
77,Gibson,Sparkling Darkness,SG Jr,3.24116E+12
78,Ibanez,Raspy Grass,PGM333,9.22448E+12
79,G&L,Lively Grass,Fullerton Deluxe Skyhawk,6.53747E+12
80,Taylor,Cold Base,200 Series,4.01749E+12
81,Jackson,Ancient Band,Rhoads,2.29932E+12
82,B.C. Rich,Twilight Rain,Virgin,8.45623E+12
83,Taylor,Spring Scene,200 Series,8.03961E+12
84,Paul Reed Smith,Broken Hill,SE Carlos Santana,5.52063E+12
85,Schecter,Quiet Mode,C-7 SLS Evil Twin,2.43306E+12
86,Washburn,Wispy Sun,M10FRQ,8.58398E+12
87,Charvel,Super Leaf,DK27,4.87729E+12
88,Gibson,Lively Snowflake,ES-355,3.75401E+12
89,Rickenbacker,Broken Lake,Model 360,2.4713E+12
90,Carvin,Dark Pine,C7H,1.3331E+12
91,Paul Reed Smith,Solitary Wind,SE Custom 22 Semi-Hollow,9.38862E+12
92,G&L,Polished Tree,Tribute Fallout,8.20533E+12
93,Washburn,Withered Feather,J600,5.45026E+12
94,Fender,Red Cake,Duo-Sonic,9.90531E+12
95,Ibanez,Bold Base,JS2480MCR,1.15255E+12
96,Gibson,Bitter Sea,Les Paul Standard,7.7472E+12
97,B.C. Rich,White Thunder,Wave,8.94081E+12
98,Paul Reed Smith,Raspy Poetry,McCarty 594,9.17699E+12
99,Carvin,Dawn Hall,A6E,8.45733E+12
100,Paul Reed Smith,Billowing Cake,McCarty 594,8.72666E+12
101,Charvel,Weathered Sun,So-Cal Style,9.14472E+12
102,Guild,Square Star,Doubleneck Custom,1.32982E+12
103,Carvin,Round Wildflower,A6C,5.27607E+12
104,Guild,Jolly Dust,Doubleneck Custom,9.5073E+11
105,Rickenbacker,Rough Bonus,Model 1993 Plus,6.16487E+12
106,Gibson,Throbbing Smoke,SG,5.2034E+12
107,G&L,Wispy Night,Fullerton Deluxe Comanche,8.0469E+12
108,Scala,Odd Pond,ES,6.31829E+12
109,Washburn,Hidden Boat,J3,8.04425E+12
110,Schecter,Noisy Wind,Keith Merror KM-7,8.53129E+12
111,Gibson,Sweet Base,SG,4.65505E+12
112,Charvel,Aged Tooth,DK,6.85065E+12
